stint_id,Gls/90,Ast/90,Sh/90,SoT%,G/Sh,G/SoT,TklW/90,Int/90,TklWInt/90
Joelinton__Newcastle,0.09216589861751152,0.04608294930875576,1.4746543778801844,34.4,0.06,0.18,1.0599078341013826,1.2903225806451613,2.350230414746544
Brennan Johnson__Tottenham,0.29411764705882354,0.0,0.8823529411764706,33.3,0.33,1.0,1.3235294117647058,0.29411764705882354,1.6176470588235294
Brennan Johnson__Crystal Palace,0.0,0.08064516129032258,1.3709677419354838,17.6,0.0,0.0,0.564516129032258,0.16129032258064516,0.7258064516129032
Curtis Jones__Liverpool,0.046511627906976744,0.09302325581395349,1.0232558139534884,31.8,0.05,0.14,1.069767441860465,0.8372093023255814,1.9069767441860466
Eli Junior Kroupi__Bournemouth,0.6989247311827956,0.0,2.7956989247311825,42.3,0.25,0.59,0.3225806451612903,0.48387096774193544,0.8064516129032258
James Justin__Leeds United,0.0947867298578199,0.04739336492890995,1.1374407582938388,25.0,0.08,0.33,1.8009478672985781,1.2322274881516586,3.0331753554502368
Ferdi Kadioglu__Brighton,0.02873563218390805,0.0,0.8045977011494253,46.4,0.04,0.08,1.120689655172414,0.7183908045977012,1.8390804597701151
Daichi Kamada__Crystal Palace,0.0,0.0,0.9004739336492891,21.1,0.0,0.0,1.6587677725118481,0.6635071090047393,2.3222748815165875
Boubacar Kamara__Aston Villa,0.06369426751592357,0.1910828025477707,0.445859872611465,57.1,0.14,0.25,1.019108280254777,0.9554140127388535,1.9745222929936306
Michael Kayode__Brentford,0.027624309392265192,0.027624309392265192,0.24861878453038672,33.3,0.11,0.33,1.298342541436464,1.0773480662983426,2.3756906077348066
Michael Keane__Everton,0.10416666666666666,0.034722222222222224,0.9375,25.9,0.11,0.43,0.8333333333333333,1.284722222222222,2.1180555555555554
Milos Kerkez__Liverpool,0.0796812749003984,0.0398406374501992,0.3585657370517928,22.2,0.22,1.0,1.0358565737051793,0.597609561752988,1.6334661354581672
Kevin__Fulham,0.08620689655172414,0.08620689655172414,2.1551724137931036,40.0,0.04,0.1,0.8620689655172414,0.7758620689655172,1.6379310344827587
Abdukodir Khusanov__Manchester City,0.0,0.0,0.44025157232704404,14.3,0.0,0.0,1.2578616352201257,1.8238993710691824,3.081761006289308
Max Kilman__West Ham,0.0,0.0,0.40462427745664736,14.3,0.0,0.0,0.4624277456647399,0.3468208092485549,0.8092485549132947
