Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,fbref_id,90s_shooting_dup,Gls_shooting_dup,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK_shooting_dup,PKatt_shooting_dup,fbref_id_shooting_dup,90s_passing_dup,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp.1,Att.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,Ast_passing_dup,A-xAG,KP,1/3,PPA,CrsPA,fbref_id_passing_dup,90s_possession_dup,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att_possession_dup,Succ,Succ%,Tkld,Tkld%,Carries,TotDist_possession_dup,PrgDist_possession_dup,1/3_possession_dup,CPA,Mis,Dis,Rec,fbref_id_possession_dup,90s_defense_dup,Tkl,TklW,Def 3rd_defense_dup,Mid 3rd_defense_dup,Att 3rd_defense_dup,Tkl.1,Att_defense_dup,Tkl%,Lost,Blocks,Sh_defense_dup,Pass,Int,Tkl+Int,Clr,Err,fbref_id_defense_dup,stint_id,reason
Oscar Bobb,no NOR,MFFW,Manchester City,22,2003,9,5,468,5.2,0,1,1,0,0,0,1,0,0.0,0.19,0.19,0.0,0.19,eed2427e,5.2,0,4,0,0.0,0.77,0.0,0.0,,0,0,eed2427e,5.2,,,,,,,,,,,,,,,1,,,,,,eed2427e,5.2,,,,,,,,,,,,,,,,,,,,,eed2427e,5.2,,5,,,,,,,,,,,3,,,,eed2427e,Oscar Bobb__Manchester City,below_600_min_threshold
Oscar Bobb,no NOR,MF,Fulham,22,2003,14,6,571,6.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,eed2427e,6.3,0,8,3,37.5,1.26,0.47,0.0,0.0,0,0,eed2427e,6.3,,,,,,,,,,,,,,,0,,,,,,eed2427e,6.3,,,,,,,,,,,,,,,,,,,,,eed2427e,6.3,,7,,,,,,,,,,,6,,,,eed2427e,Oscar Bobb__Fulham,below_600_min_threshold
Sebastiaan Bornauw,be BEL,DF,Leeds United,26,1999,12,5,429,4.8,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,01834aa0,4.8,0,1,0,0.0,0.21,0.0,0.0,,0,0,01834aa0,4.8,,,,,,,,,,,,,,,0,,,,,,01834aa0,4.8,,,,,,,,,,,,,,,,,,,,,01834aa0,4.8,,4,,,,,,,,,,,7,,,,01834aa0,Sebastiaan Bornauw__Leeds United,below_600_min_threshold
Facundo Buonanotte,ar ARG,MF,Chelsea,20,2004,1,1,45,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,468a7a91,0.5,0,0,0,,0.0,0.0,,,0,0,468a7a91,0.5,,,,,,,,,,,,,,,0,,,,,,468a7a91,0.5,,,,,,,,,,,,,,,,,,,,,468a7a91,0.5,,0,,,,,,,,,,,0,,,,468a7a91,Facundo Buonanotte__Chelsea,below_600_min_threshold
Facundo Buonanotte,ar ARG,MF,Leeds United,20,2004,3,0,39,0.4,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,468a7a91,0.4,0,2,0,0.0,4.62,0.0,0.0,,0,0,468a7a91,0.4,,,,,,,,,,,,,,,0,,,,,,468a7a91,0.4,,,,,,,,,,,,,,,,,,,,,468a7a91,0.4,,0,,,,,,,,,,,1,,,,468a7a91,Facundo Buonanotte__Leeds United,below_600_min_threshold
Bradley Burrowes,eng ENG,MF,Aston Villa,17,2008,1,0,17,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,802ee5ca,0.2,0,0,0,,0.0,0.0,,,0,0,802ee5ca,0.2,,,,,,,,,,,,,,,0,,,,,,802ee5ca,0.2,,,,,,,,,,,,,,,,,,,,,802ee5ca,0.2,,0,,,,,,,,,,,0,,,,802ee5ca,Bradley Burrowes__Aston Villa,below_600_min_threshold
Jun'ai Byfield,eng ENG,DF,Tottenham,16,2008,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0312881b,0.0,0,0,0,,0.0,0.0,,,0,0,0312881b,0.0,,,,,,,,,,,,,,,0,,,,,,0312881b,0.0,,,,,,,,,,,,,,,,,,,,,0312881b,0.0,,0,,,,,,,,,,,0,,,,0312881b,Jun'ai Byfield__Tottenham,below_600_min_threshold
Sam Byram,eng ENG,DFMF,Leeds United,31,1993,2,0,9,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1bf811d4,0.1,0,0,0,,0.0,0.0,,,0,0,1bf811d4,0.1,,,,,,,,,,,,,,,0,,,,,,1bf811d4,0.1,,,,,,,,,,,,,,,,,,,,,1bf811d4,0.1,,1,,,,,,,,,,,0,,,,1bf811d4,Sam Byram__Leeds United,below_600_min_threshold
Rio Cardines,tt TRI,MF,Crystal Palace,19,2006,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,702812fe,1.0,0,1,0,0.0,1.0,0.0,0.0,,0,0,702812fe,1.0,,,,,,,,,,,,,,,0,,,,,,702812fe,1.0,,,,,,,,,,,,,,,,,,,,,702812fe,1.0,,1,,,,,,,,,,,0,,,,702812fe,Rio Cardines__Crystal Palace,below_600_min_threshold
Fabio Carvalho,pt POR,MF,Brentford,22,2002,6,1,102,1.1,1,0,1,1,0,0,0,0,0.88,0.0,0.88,0.88,0.88,966e28d0,1.1,1,2,1,50.0,1.76,0.88,0.5,1.0,0,0,966e28d0,1.1,,,,,,,,,,,,,,,0,,,,,,966e28d0,1.1,,,,,,,,,,,,,,,,,,,,,966e28d0,1.1,,2,,,,,,,,,,,0,,,,966e28d0,Fabio Carvalho__Brentford,below_600_min_threshold
